-0.82,;0.33
3.30,;1.04,;3.36
0.47,;-0.82,;0.33
3.36,;1.53,;3.85
0.46,;-0.82,;0.33
2.99,;0.49,;3.05
0.47,;-0.82,;0.33
3.05,;1.89,;3.36
0.46,;-0.82,;0.34
3.30,;0.18,;3.30
0.47,;-0.82,;0.33
3.11,;2.01,;3.91
0.46,;-0.82,;0.33
3.11,;0.49,;2.62
0.46,;-0.83,;0.33
3.42,;0.31,;3.42
0.47,;-0.82,;0.33
3.36,;1.53,;4.70
0.46,;-0.83,;0.33
4.03,;0.37,;3.91
0.47,;-0.82,;0.33
3.30,;1.89,;4.27
0.47,;-0.82,;0.33
3.05,;0.43,;2.81
0.46,;-0.83,;0.33
2.69,;1.28,;2.87
0.47,;-0.82,;0.33
2.81,;1.34,;4.21
0.47,;-0.82,;0.33
3.17,;1.10,;3.23
0.47,;-0.82,;0.33
2.75,;1.59,;3.78
0.47,;-0.82,;0.33
3.17,;1.83,;2.38
0.47,;-0.82,;0.33
2.50,;0.24,;3.30
0.47,;-0.82,;0.33
2.87,;0.61,;3.60
0.47,;-0.82,;0.33
3.91,;1.28,;3.17
0.47,;-0.83,;0.33
3.66,;0.79,;3.72
0.47,;-0.82,;0.33
2.99,;0.12,;4.52
0.47,;-0.81,;0.33
3.66,;0.67,;3.54
0.47,;-0.82,;0.33
3.30,;1.34,;2.93
0.47,;-0.82,;0.33
3.17,;1.04,;3.42
0.47,;-0.82,;0.33
3.17,;0.49,;3.11
0.47,;-0.82,;0.33
3.36,;1.65,;3.30
0.48,;-0.83,;0.33
3.54,;0.73,;2.75
0.46,;-0.83,;0.33
2.81,;0.31,;3.42
0.47,;-0.82,;0.33
3.42,;0.92,;3.78
0.47,;-0.82,;0.33
3.23,;0.61,;3.36
0.47,;-0.82,;0.33
3.17,;0.49,;3.97
0.47,;-0.82,;0.33
3.42,;1.04,;2.93
0.47,;-0.82,;0.33
3.30,;0.55,;3.48
0.47,;-0.82,;0.33
3.48,;0.79,;3.48
0.47,;-0.82,;0.33
3.23,;0.31,;2.93
0.47,;-0.82,;0.33
3.05,;0.85,;3.11
0.47,;-0.82,;0.33
3.42,;-0.06,;3.30
0.47,;-0.82,;0.33
3.11,;0.73,;3.54
0.47,;-0.82,;0.33
2.99,;0.61,;3.11
0.47,;-0.82,;0.33
3.05,;1.53,;3.30
0.47,;-0.82,;0.33
3.42,;0.98,;3.17
0.47,;-0.82,;0.33
2.75,;1.10,;3.17
0.46,;-0.82,;0.33
2.81,;0.61,;2.81
0.47,;-0.82,;0.33
3.23,;1.22,;4.27
0.47,;-0.82,;0.33
3.05,;0.18,;3.66
0.47,;-0.82,;0.33
3.05,;1.65,;3.42
0.47,;-0.82,;0.33
2.99,;0.79,;2.62
0.47,;-0.82,;0.33
2.81,;0.43,;3.54
0.47,;-0.82,;0.33
3.48,;1.04,;3.36
0.47,;-0.83,;0.33
3.36,;0.37,;3.05
0.47,;-0.82,;0.33
3.05,;1.16,;3.78
0.47,;-0.82,;0.33
2.87,;0.24,;2.81
0.47,;-0.82,;0.33
2.99,;1.83,;2.99
0.47,;-0.82,;0.33
2.99,;0.67,;2.87
0.47,;-0.82,;0.33
2.50,;1.04,;2.99
0.47,;-0.82,;0.33
2.99,;1.22,;3.17
0.47,;-0.82,;0.33
3.05,;1.34,;3.05
0.47,;-0.82,;0.33
2.56,;1.28,;2.81
0.47,;-0.81,;0.33
2.44,;1.46,;2.50
0.47,;-0.82,;0.33
2.87,;1.40,;2.32
0.46,;-0.83,;0.33
3.05,;1.10,;3.23
0.46,;-0.82,;0.33
3.48,;0.06,;4.15
0.47,;-0.82,;0.33
3.05,;0.98,;3.72
0.47,;-0.82,;0.33
2.99,;0.79,;2.56
0.46,;-0.82,;0.33
2.69,;1.10,;2.69
0.46,;-0.82,;0.33
2.01,;1.16,;2.50
0.47,;-0.82,;0.33
1.53,;1.28,;2.32
0.46,;-0.82,;0.33
2.20,;1.28,;2.81
0.47,;-0.82,;0.33
2.50,;1.22,;2.50
0.46,;-0.82,;0.34
2.56,;1.40,;2.50
0.46,;-0.83,;0.34
2.50,;1.28,;2.44
0.46,;-0.82,;0.33
3.17,;1.83,;3.54
0.47,;-0.82,;0.33
3.05,;1.34,;3.60
0.46,;-0.83,;0.33
2.93,;0.43,;3.78
0.47,;-0.82,;0.33
3.66,;0.85,;3.72
0.46,;-0.83,;0.33
3.66,;0.92,;2.93
0.47,;-0.82,;0.33
3.60,;0.98,;3.42
0.46,;-0.82,;0.33
3.48,;0.43,;3.30
0.47,;-0.82,;0.33
3.72,;1.04,;3.11
0.47,;-0.82,;0.33
3.60,;0.49,;2.50
0.46,;-0.83,;0.33
3.36,;0.31,;2.56
0.46,;-0.83,;0.33
4.03,;0.37,;2.81
0.46,;-0.83,;0.33
3.78,;-0.06,;4.58
0.46,;-0.82,;0.33
3.60,;0.06,;4.46
0.47,;-0.82,;0.32
3.23,;1.16,;3.05
0.47,;-0.82,;0.33
2.75,;1.10,;1.89
0.46,;-0.83,;0.33
2.01,;1.04,;2.20
0.46,;-0.83,;0.33
2.87,;1.16,;3.23
0.47,;-0.82,;0.33
2.87,;1.16,;4.03
0.46,;-0.82,;0.33
3.11,;0.12,;3.17
0.46,;-0.82,;0.33
3.11,;1.89,;3.36
0.46,;-0.82,;0.33
3.36,;0.79,;2.81
0.46,;-0.83,;0.33
3.05,;0.79,;3.66
0.47,;-0.82,;0.33
3.17,;1.16,;2.93
0.46,;-0.83,;0.33
3.30,;0.73,;2.87
0.46,;-0.83,;0.33
2.99,;0.37,;3.30
0.46,;-0.82,;0.33
3.42,;0.43,;3.66
0.46,;-0.82,;0.33
4.15,;0.18,;3.54
0.46,;-0.83,;0.33
3.66,;0.79,;3.42
0.47,;-0.82,;0.33
3.30,;0.43,;3.42
0.46,;-0.82,;0.33
2.69,;0.61,;2.87
0.46,;-0.83,;0.33
3.17,;0.67,;3.42
0.47,;-0.82,;0.33
3.11,;1.10,;4.21
0.46,;-0.83,;0.33
3.42,;0.98,;2.38
0.46,;-0.82,;0.33
3.30,;0.73,;4.09
0.47,;-0.82,;0.33
3.54,;1.22,;3.97
0.46,;-0.83,;0.33
2.93,;-0.43,;3.23
0.47,;-0.82,;0.33
3.23,;0.85,;3.36
0.47,;-0.82,;0.33
2.81,;0.98,;1.34
0.46,;-0.83,;0.33
2.75,;1.95,;1.71
0.45,;-0.83,;0.34
2.50,;0.43,;2.14
0.46,;-0.83,;0.34
2.75,;0.55,;4.70
0.46,;-0.82,;0.33
